Nome,Atuação,Site,Descrição
Mapa do Acolhimento,Brasil,https://www.mapadoacolhimento.org/,"o Mapa do Acolhimentos surgiu em 2016 após um caso de estupro coletivo no Rio de Janeiro ganhar repercussão em âmbito nacional. A iniciativa promove acolhimento psicológico ou jurídico em todo o país para mulheres cis e mulheres transexuais que sofreram violência sexual, psicológica, física, virtual, patrimonial, institucional, obstétrica, doméstica, moral, assédio, racismo ou LBTfobia."
Consulado da mulher,Brasil,http://consuladodamulher.org.br/,"o instituto incentiva que mulheres que não tiveram a oportunidade de terminar os estudos e que vivem em locais socialmente vulneráveis se tornem empreendedoras e confiantes para gerir os seus próprios negócios, aumentando dessa forma a sua geração de renda e qualidade de vida."
Movimento Vamos Juntas,Brasil,https://www.movimentovamosjuntas.com.br/,"o movimento consiste em uma corrente através das redes sociais que incentiva as mulheres a compartilharem experiências, principalmente em relação à violência de gênero que sofrem na rua. Além disso, o movimento busca empoderar através da informação e prega a sororidade (irmandade feminina)."
Olga,Brasil,https://thinkolga.com/,"a Olga é uma ONG feminista que busca empoderar mulheres por meio da informação. A iniciativa tem o objetivo de transformar a forma como se fala do feminino no Brasil. Para isso, divulga notícias sobre representatividade, educação, acolhimento e conhecimento de direitos."
ONG Nova Mulher,São Paulo,https://www.ongnovamulher.org/,"a iniciativa estimula as mulheres a desenvolverem suas potencialidades. Para isso, a ONG oferece cursos de geração de renda, desenvolvimento pessoal, formação de gênero, e promove orientação sobre direitos em geral."
Criola,Rio de Janeiro,https://criola.org.br/,"a organização desenvolve ações voltadas à melhoria das condições da população negra, em especial das meninas e mulheres negras. Com o empoderamento através da informação e a formação de lideranças negras, a ONG visa enfrentar o racismo, sexismo, lesbofobia e transfobia."
Feira Preta,"Sede em São Paulo, mas atua em todo o país",http://feirapreta.com.br/,"o Instituto Feira Preta realiza o mapeamento do afro-empreendedorismo no Brasil. A instituição atua como aceleradora de negócios negros de diferentes seguimentos, promove educação empreendedora e realiza eventos com criadores negros de diferentes setores, como arte, moda, cosméticos e gastronomia."
Uneafro Brasil,São Paulo,http://uneafrobrasil.org/,"a Uneafro é uma rede que busca empoderar através do conhecimento. Por essa razão, a iniciativa promove cursinhos pré-vestibulinhos, pré-vestibulares, pré-concursos, formação para o mercado de trabalho, cursos de formação política, de gênero, antirracista, diversidade sexual, combate às drogas e aperfeiçoamento jurídico para jovens e adultos que são moradores de regiões periféricas do Brasil."
Anjos da Noite,São Paulo,http://www.anjosdanoite.org.br/,"oferece cerca de 800 refeições por semana para pessoas em situação de rua que vivem no centro da cidade, com o objetivo de resgatar a sua autoestima e lhes dar uma nova perspectiva de vida. Além disso, quando as temperaturas caem, arrecada agasalhos, cobertores e calçados e os distribui."
Projeto Olhe,São Paulo,http://projetoolhe.com.br/,"o Projeto Olhe possui um banco colaborativo de currículos de pessoas em situação de rua. A iniciativa, com a ajuda de outras ONGs, atua como uma ponte e conecta essas pessoas com empresas que estão dispostas a contratá-las."
SP Invisível,São Paulo,https://spinvisivel.org/,"a iniciativa fotografa e conta as histórias de pessoas em situação de rua, com o objetivo de conscientizar a sociedade e promover um olhar mais humano sobre essas pessoas. Além disso, o SP Invisível realiza ações em que distribui kits com materiais de higiene, roupas, cobertores e outros utensílios."
Ação da Cidadania,Brasil,http://www.acaodacidadania.com.br/,"a Ação da Cidadania é um movimento social que tem o objetivo de ajudar pessoas que vivem abaixo da linha da pobreza. De acordo com os dados da instituição, entre o período de 1993 e 2005, 30.351 toneladas de alimentos foram arrecadadas em todo o Brasil e 3.035.127 famílias foram beneficiadas. Atualmente, a ONG trabalha em prol da garantia dos direitos humanos no país, como o acesso a serviços públicos de qualidade, saúde, educação, cultura e mobilidade."
Actionaid,"45 países, incluindo o Brasil",http://actionaid.org.br/,"desenvolve projetos de educação, agroecologia e clima, igualdade de gênero e participação e democracia, que têm como intuito garantir resiliência das comunidades e a redistribuição de poder e recursos. No Brasil, a Actionaid atua em mais de 2,4 mil comunidades, em 13 estados, beneficiando mais de 300 mil pessoas em situação de pobreza."
CARE,"94 países, incluindo o Brasil",https://www.care.org/,"a CARE é uma organização humanitária que está presente em 94 países. Sua missão é salvar vidas, erradicar a pobreza e ajudar pessoas em situação de vulnerabilidade social, com foco nas mulheres e meninas. Em situações de emergência, a organização fornece comida, abrigo, água potável e produtos de higiene para pessoas que são afetadas por crises humanitárias."
Save The Children,"120 países, incluindo o Brasil",https://www.savethechildren.org/,"a organização está presente em 120 países e tem o objetivo de defender os direitos das crianças. A Save The Children responde a situações de emergência provocadas por desastres naturais, fome, guerras ou surtos de doença. Uma das prioridades desta ONG é a educação, cuidados de saúde e o combate à pobreza infantil."
ADUS,São Paulo,http://www.adus.org.br/,"Com o intuito de dar melhores condições de vida aos refugiados que chegam a São Paulo, o Instituto de Reintegração do Refugiado (ADUS) possui projetos com foco no ensino de português, trabalho e renda, e saúde mental."
Cáritas Brasileira,São Paulo e Rio de Janeiro,http://caritas.org.br/,"tem como objetivo oferecer orientação jurídica, acolhimento e acompanhamento das solicitações de refúgio. Oferece atendimento psicológico, curso de português, capacitação profissional e orientações sobre questões como acesso a serviços de saúde e documentação."
Missão Paz,São Paulo,http://www.missaonspaz.org/,"A organização Missão Paz tem como objetivo acolher os migrantes, imigrantes e refugiados. Tem um centro de acolhida chamado Casa do Migrante com capacidade para 110 pessoas. Também oferece aulas semanais de português e encaminha os acolhidos para cursos profissionalizantes."
AACD,"São Paulo, Minas Gerais, Pernambuco e Rio Grande do Sul",https://aacd.org.br/,"a AACD atua através de clínicas com foco em paralisia cerebral, lesão medular, lesão encefálica adquirida infantil e adulto, mielomeningocele, má-formação congênita, amputados, doenças neuromusculares e poliomielite. Além disso, a organização desenvolve atividades como a inserção nos esportes paralímpicos."
Associação de Pais e Amigos Excepcionais (APAE) Brasil,Brasil,http://apae.org.br/,"a APAE tem como objetivo dar suporte para pessoas com deficiência intelectual e múltipla, prestando serviços de educação, saúde e assistência social."
Fundação Dorina Nowill para Cegos,Brasil,https://www.fundacaodorina.org.br/,"a Fundação Dorina Nowill promove a inclusão de pessoas com deficiência visual por meio da produção e distribuição gratuita de livros em braile, falados e digitais acessíveis, diretamente para o público, assim como para cerca de 3 mil escolas, bibliotecas e organizações de todo o Brasil. Oferece serviços especializados para pessoas com deficiência visual e suas famílias, em áreas como educação especial, reabilitação, empregabilidade e clínica da visão subnormal."
Al-Anon do Brasil,"São Paulo, Ceará, Bahia, Maranhão e Rio de Janeiro",http://www.al-anon.org.br/,"através dos Grupos Familiares Al-Anon, parentes e amigos de alcoólicos compartilham suas experiências, com o intuito de solucionar os problemas que têm em comum. A organização também tem grupos de apoio voltados a jovens de 13 a 19 anos que sofrem com o alcoolismo de um familiar ou amigo."
Associação Antialcoólica do Estado de São Paulo,São Paulo,https://www.aaesp.org.br/,tem como intuito combater a dependência de álcool e drogas. Realiza terapias de grupo e atendimento psicológico na Clínica de Saúde Praça da Árvore.
Projeto Eu Acredito,São Paulo,https://projetoeuacredito.org.br/,"reabilita dependentes de drogas, álcool, ou qualquer outra substância química e pessoas em situação de vulnerabilidade social. Oferece tratamento e programa socioeducativos de maneira gratuita a pessoas do sexo masculino entre 18 e 60 anos."
Casa dos Velhos Irmã Alice,São Paulo,http://www.casadosvelhos.org.br/,"presta assistência integral a pessoas idosas do sexo masculino, reconhecidamente carentes, em regime de internato semiaberto, de forma gratuita. O local dispõe de alojamento, cozinha, refeitório e o salão de recreação."
Centro de convivência do Idoso Enkyo,São Paulo,http://www.enkyo.org.br/pagina/centro-de-convivencia-do-idoso-enkyo-cci-enkyo/,"realiza atividades de caráter recreativo, ocupacional, educacional, cultural e de geração de renda. O objetivo do projeto é oferecer um espaço para promover o encontro de idosos, possibilitando o fortalecimento do vínculo familiar e social."
Projeto Saúde na Praça,Rio de Janeiro,https://www.drogariavenancio.com.br/eventos/saude-na-praca,"tem como propósito gerar a prática de exercícios físicos diários, incentivando os alunos na busca por melhorias na saúde e no prazer do convívio social. Com isso, realiza atividades em seis praças: Praça Saens Peña, Praça Afonso Pena, Praça do Pomar, Praça Parque das Rosas, Largo do Machado, Praça Serzedelo Correa."
Projeto Velho Amigo,São Paulo,http://www.velhoamigo.org.br/,"tem como objetivo melhorar a qualidade de vida dos idosos através da educação, do esporte, da cultura e do lazer. Promove mutirões de beleza e odontológicos e projetos como o ‘Ouvir e Contar’, em que voluntários escutam as histórias dos idosos. Essas histórias, que até podem ser fictícias, serão transformadas em contos de fadas, que servirão para serem contadas a crianças em situação de fragilidade, em locais como hospitais ou abrigos."
Associação Nacional de Ação Indigenista (ANAI),"Espírito Santo, Minas Gerais, Bahia, Sergipe, Alagoas, Pernambuco, Piauí, Paraíba, Rio Grande do Norte e Ceará",http://anai.org.br/,"é uma entidade dedicada ao estudo dos povos indígenas do Brasil e à promoção dos seus interesses. O objetivo da organização é estabelecer um diálogo entre indígenas e não-indígenas, lutando pelo reconhecimento e implementação efetiva dos direitos constitucionais e humanos dos mesmos."
Centro de Trabalho Indigenista,Brasil,https://trabalhoindigenista.org.br/home/,"visa contribuir para que os povos indígenas assumam o controle efetivo de seus territórios, esclarecendo-lhes sobre o papel do Estado na proteção e garantia de seus direitos constitucionais."
Comissão Pró-Índio do Acre,Acre,http://cpiacre.org.br/conteudo/,"tem como intuito apoiar os povos indígenas por meio de ações que articulem a gestão territorial e ambiental das terras indígenas, a educação intercultural e bilíngue e as políticas públicas. A organização atua junto a nove povos indígenas: Huni Ku? (Kaxinawa), Yawanawa, Shawãdawa, Yaminawa, Nukini, Poyanawa, Katukina, Ashaninka e Manchieneri, que habitam 18 terras indígenas localizadas em 10 municípios do Acre."
Operação Amazônia Nativa (OPAN),Mato Grosso,http://amazonianativa.org.br,"fundada há 49 anos, realiza trabalhos de base junto aos povos indígenas em eixos como política, terra, saúde e economia. O trabalho da organização é realizado de maneira direta, por meio do convívio e do envolvimento no cotidiano das aldeias."
Conservação Internacional,"Bolívia, Brasil, Costa Rica, China, Colômbia, Equador, Europa, Hong Kong, Indonésia, Japão, Madagascar, México, Peru, Filipinas, Samoa, África do Sul e Suriname.",https://www.conservation.org/global/brasil/Pages/default.aspx,"tem como intuito trabalhar na agenda de políticas relacionadas ao meio ambiente e o desenvolvimento sustentável. No Brasil, a organização tem como temas prioritários as mudanças climáticas, políticas públicas, agricultura, assim como a pesca e o extrativismo, e a conservação em comunidades indígenas. Dessa forma, os territórios prioritários da entidade são: Escudo das Guianas, Tapajós, Centro de Endemismo Belém, BR-310, Três Fronteiras e Costa Equatorial."
Instituto Socioambiental,"Pará, Rondônia, Distrito Federal, Mato Grosso do Sul, São Paulo e Amazonas",https://www.socioambiental.org/pt-br,"tem como objetivo propor soluções de forma integrada a questões sociais e ambientais com foco central na defesa de bens e direitos sociais, coletivos e difusos relativos ao meio ambiente, ao patrimônio cultural, aos direitos humanos e dos povos. Trabalha com o monitoramento e proposição de alternativas às políticas públicas, realiza pesquisas e publica informações socioambientais, assim como desenvolve modelos participativos de sustentabilidade socioambiental."
WWF – Brasil,mundial,https://www.wwf.org.br/,"tem como objetivo conter a degradação do meio ambiente, conservando a diversidade biológica mundial, garantindo a sustentabilidade dos recursos naturais renováveis, além de promover a redução da poluição e desperdício. No Brasil, a WWF mantém 137 funcionários e atua em 67 projetos da Amazônia, Cerrado, Pantanal, Mata Atlântica e Caatinga, além dos ecossistemas marinhos, na costa brasileira."
Focinhos da Luz,Rio de Janeiro,http://contato7159.wixsite.com/focinhos-de-luz,"resgata, trata e coloca cães e gatos para adoção. Realiza semanalmente feiras de adoção. A sede da organização fica no bairro Sepetiba, Zona Oeste do Rio de Janeiro."
Organização Bem-Animal (OBA!),Florianópolis,http://www.obafloripa.org/,"tem como objetivo o bem-estar animal. Os principais projetos da organização são o ‘Cão Terapia’ e o ‘Mutirão Mata-Fome’. O ‘Cão Terapia’ funciona com ajuda de voluntários, que, aos sábados, visitam o canil e gatil municipal para amenizar a solidão e traumas dos animais resgatados de denúncias de maus-tratos, atropelamentos e outras situações. Já o ‘Mutirão Mata-Fome’ tem como objetivo visitar áreas carentes da Grande Florianópolis para alimentar e cuidar de cães e gatos famintos e doentes."
União Internacional Protetora dos Animais (UIPA),São Paulo,http://www.uipa.org.br/,"Fundada em 1895, a associação dispõe de um abrigo que acolhe, recupera e promove a adoção de cães e gatos vítimas de abandono, acidentes e maus-tratos. Para aqueles que tiverem interesse em adotar, a Uipa está aberta de segunda a sábado, das 10h às 15h40, para este serviço."
